scouting_rank,player_name,club_name,competition_name,country_name,age_at_season_end,position,minutes,goals,assists,goals_per90,assists_per90,market_value_m,breakout_probability_pct
41,Sondre Ørjasæter,FC Twente Enschede,eredivisie,Netherlands,23,Attack,2154.0,3.0,6.0,0.125,0.251,7.0,83.88323067158133
42,Check Keita,Royal Charleroi Sporting Club,jupiler-pro-league,Belgium,23,Defender,2541.0,3.0,0.0,0.106,0.0,3.5,83.79844226263607
43,Mohamed Touré,Randers FC,superliga,Denmark,22,Attack,1117.0,4.0,4.0,0.322,0.322,8.0,83.5959842830677
44,Ousmane Diao,FC Midtjylland,superliga,Denmark,22,Defender,1112.0,1.0,1.0,0.081,0.081,8.0,83.59269661604442
45,Andreas Ntoi,Rio Ave FC,liga-portugal,Portugal,23,Defender,2347.0,1.0,2.0,0.038,0.077,5.0,83.39912281377079
46,Rome-Jayden Owusu-Oduro,AZ Alkmaar,eredivisie,Netherlands,22,Goalkeeper,2052.0,0.0,1.0,0.0,0.044,6.0,83.14805540072827
47,Diogo Travassos,Moreirense FC,liga-portugal,Portugal,22,Defender,2436.0,5.0,3.0,0.185,0.111,6.0,82.99801462134039
48,Steve Ngoura,Cercle Brugge,jupiler-pro-league,Belgium,21,Attack,1831.0,4.0,5.0,0.197,0.246,5.0,82.52444395995312
49,Roggerio Nyakossi,Oud-Heverlee Leuven,jupiler-pro-league,Belgium,22,Defender,1530.0,3.0,0.0,0.176,0.0,5.0,82.47248183362753
50,Maas Willemsen,SC Heerenveen,eredivisie,Netherlands,23,Defender,2559.0,1.0,0.0,0.035,0.0,4.5,81.97154023981206
51,Abbosbek Fayzullaev,Basaksehir FK,super-lig,Türkiye,23,Attack,1109.0,3.0,5.0,0.243,0.406,7.0,81.66575114945107
52,Emin Bayram,KVC Westerlo,jupiler-pro-league,Belgium,23,Defender,2592.0,3.0,2.0,0.104,0.069,4.0,81.60775170257581
53,Thérence Koudou,KV Mechelen,jupiler-pro-league,Belgium,22,Defender,2229.0,4.0,1.0,0.162,0.04,4.0,81.44910254296047
54,Nacho Ferri,KVC Westerlo,jupiler-pro-league,Belgium,22,Attack,2238.0,7.0,4.0,0.282,0.161,6.0,81.43848421290184
55,Isak Jensen,AZ Alkmaar,eredivisie,Netherlands,23,Attack,2045.0,2.0,5.0,0.088,0.22,5.0,81.33148906593995
56,Hyllarion Goore,KAA Gent,jupiler-pro-league,Belgium,21,Attack,1132.0,5.0,3.0,0.398,0.239,4.0,81.15259068774576
